Cell.Line,Cell.ID,Lot.Number,Treatment,Time.Point,Replicate,Sub.experiment,Batch,Filename,WG.Plate,factor1,factor2,Iso.Order,Iso.Row,Iso.Col,RNAYield(ug),Label.Order,Label.Row,Label.Col
SEN,D,#1366434,Control,72,1,1,1,GSS2375_WellData_p1.txt,1,Control.72.SEN,Control.72.D,1,A,1,,14,F,2
Adult,G,#1528526,Control,12,1,1,1,GSS2375_WellData_p1.txt,1,Control.12.Adult,Control.12.G,2,B,1,,33,A,5
Adult,G,#1528526,TGFb,48,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.48.Adult,TGFb.48.G,3,C,1,,18,B,3
HDFn,A,#1366434,TGFb,24,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.24.HDFn,TGFb.24.A,4,D,1,,62,F,8
Adult,G,#1528526,Control,0.5,1,1,1,GSS2375_WellData_p1.txt,1,Control.0.5.Adult,Control.0.5.G,5,E,1,,13,E,2
SEN,D,#1366434,TGFb,24,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.24.SEN,TGFb.24.D,6,F,1,,8,H,1
SEN,D,#1366434,TGFb,48,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.48.SEN,TGFb.48.D,7,G,1,,50,B,7
Adult,G,#1528526,TGFb,2,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.2.Adult,TGFb.2.G,8,H,1,,11,C,2
Adult,G,#1528526,Control,2,1,1,1,GSS2375_WellData_p1.txt,1,Control.2.Adult,Control.2.G,9,A,2,,34,B,5
Adult,G,#1528526,Control,96,1,1,1,GSS2375_WellData_p1.txt,1,Control.96.Adult,Control.96.G,10,B,2,,58,B,8
SEN,D,#1366434,Control,24,1,1,1,GSS2375_WellData_p1.txt,1,Control.24.SEN,Control.24.D,11,C,2,,29,E,4
HDFn,A,#1366434,TGFb,96,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.96.HDFn,TGFb.96.A,12,D,2,,20,D,3
Adult,G,#1528526,TGFb,1,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.1.Adult,TGFb.1.G,13,E,2,,41,A,6
Adult,G,#1528526,Control,4,1,1,1,GSS2375_WellData_p1.txt,1,Control.4.Adult,Control.4.G,14,F,2,,57,A,8
HDFn,A,#1366434,TGFb,72,1,1,1,GSS2375_WellData_p1.txt,1,TGFb.72.HDFn,TGFb.72.A,15,G,2,,5,E,1
HDFn,A,#1366434,Control,0.5,1,1,1,GSS2375_WellData_p1.txt,1,Control.0.5.HDFn,Control.0.5.A,16,H,2,,31,G,4
